Title,Body,text,language,clean_text
Shein customer service chat has been…,"Shein customer service chat has been down or something not sure and also the ticket takes 24 hr before a response is provided. Does shein have a phone number? I have been trying to reach out to them for 3hrs now,,, my gosh and i am trying to confirm if all my orders where shipped together in one.","Shein customer service chat has been… Shein customer service chat has been down or something not sure and also the ticket takes 24 hr before a response is provided. Does shein have a phone number? I have been trying to reach out to them for 3hrs now,,, my gosh and i am trying to confirm if all my orders where shipped together in one.",en,shein customer service chat been… shein customer service chat something sure also ticket takes 24 hr response provided shein phone number trying reach 3hrs gosh trying confirm orders shipped together one
Top rapport qualité,Top rapport qualité,Top rapport qualité Top rapport qualité,en,top rapport qualité top rapport qualité
I am extremely disappointed with Shein,"I am extremely disappointed with my recent experience with Shein. I placed an order that was supposed to be delivered to me, but unfortunately, SpeedX, the shipping service they used, acknowledged that my package was delivered to the wrong address. Despite this confirmation from SpeedX, Shein has refused to process a refund or provide any compensation for the lost order. This lack of accountability is frustrating, and I expected better customer service. I hope they will reconsider their policies regarding lost packages and take responsibility for their shipping partners' mistakes. Until then, I cannot recommend shopping with Shein.","I am extremely disappointed with Shein I am extremely disappointed with my recent experience with Shein. I placed an order that was supposed to be delivered to me, but unfortunately, SpeedX, the shipping service they used, acknowledged that my package was delivered to the wrong address. Despite this confirmation from SpeedX, Shein has refused to process a refund or provide any compensation for the lost order. This lack of accountability is frustrating, and I expected better customer service. I hope they will reconsider their policies regarding lost packages and take responsibility for their shipping partners' mistakes. Until then, I cannot recommend shopping with Shein.",en,extremely disappointed shein extremely disappointed recent experience shein placed order supposed delivered unfortunately speedx shipping service used acknowledged package delivered wrong address despite confirmation speedx shein refused process refund provide compensation lost order lack accountability frustrating expected better customer service hope reconsider policies regarding lost packages take responsibility shipping partners mistakes recommend shopping shein
Fabulous place to buy clothes,All very good. Great service,Fabulous place to buy clothes All very good. Great service,en,fabulous place buy clothes good great service
Impeccable,Impeccable,Impeccable Impeccable,en,impeccable impeccable
Love itttttttttt,"LOVE IT LOVE IT LOVE

IT LOVE IT","Love itttttttttt LOVE IT LOVE IT LOVE

IT LOVE IT",en,love itttttttttt love love love love
Awful Customer service,"Customer service is awful. Courier delivered package to my garden once I’d gotten home was gone. Been back and forth with SHEIN for near 3 weeks. They need an email from the courier, the courier have messaged SHEIN on there portal to advice but SHEIN won’t accept this. The people on the chat send automated responses they have no wish to help. Just try and fob you off I’ve never dealt with a company as bad as them!","Awful Customer service Customer service is awful. Courier delivered package to my garden once I’d gotten home was gone. Been back and forth with SHEIN for near 3 weeks. They need an email from the courier, the courier have messaged SHEIN on there portal to advice but SHEIN won’t accept this. The people on the chat send automated responses they have no wish to help. Just try and fob you off I’ve never dealt with a company as bad as them!",en,awful customer service customer service awful courier delivered package garden ’ gotten home gone back forth shein near 3 weeks need email courier courier messaged shein portal advice shein ’ accept people chat send automated responses wish help try fob ’ never dealt company bad
Poorest service I have ever received,"Poorest service I have ever received. My item that I payed £52 for, has not arrived and they are claiming that I have received it and are not happy to help me with it.","Poorest service I have ever received Poorest service I have ever received. My item that I payed £52 for, has not arrived and they are claiming that I have received it and are not happy to help me with it.",en,poorest service ever received poorest service ever received item payed £52 arrived claiming received happy help
Poor-quality product and terrible customer service,"Very poor-quality product.
Besides that, after seeing the quality of the product, I requested a refund for my order, and despite following the return conditions on the website, attaching the documents issued by Shein and the courier, as well as proof of delivery to their warehouse, they responded that they couldn't find the package and therefore couldn't refund my money. Terrible customer service—I will never order from Shein again.

orders GSONED571000CEL and GSONED571000CEK, returned in a combined return, both in the same package as in document id URNP17EO7WL7, no of return NP17E07MPS. REIMBURSEMENT APROOVED ONLY FOR ONE OF THE ORDERS, MOTIVATION: THE OTHER ORDER WAS NOT RECEIVED, EVEN IF I SENT THEM BOTH ORDERS INSIDE THE SAME PACKAGE. Very disturbing experience, after facing the quality of the product.
Orders returned in 28/11/2024, partially reimbursement approved on 28/01/2025, after more emails sent by me.","Poor-quality product and terrible customer service Very poor-quality product.
Besides that, after seeing the quality of the product, I requested a refund for my order, and despite following the return conditions on the website, attaching the documents issued by Shein and the courier, as well as proof of delivery to their warehouse, they responded that they couldn't find the package and therefore couldn't refund my money. Terrible customer service—I will never order from Shein again.

orders GSONED571000CEL and GSONED571000CEK, returned in a combined return, both in the same package as in document id URNP17EO7WL7, no of return NP17E07MPS. REIMBURSEMENT APROOVED ONLY FOR ONE OF THE ORDERS, MOTIVATION: THE OTHER ORDER WAS NOT RECEIVED, EVEN IF I SENT THEM BOTH ORDERS INSIDE THE SAME PACKAGE. Very disturbing experience, after facing the quality of the product.
Orders returned in 28/11/2024, partially reimbursement approved on 28/01/2025, after more emails sent by me.",en,poorquality product terrible customer service poorquality product besides seeing quality product requested refund order despite following return conditions website attaching documents issued shein courier well proof delivery warehouse responded couldnt find package therefore couldnt refund money terrible customer service—i never order shein orders gsoned571000cel gsoned571000cek returned combined return package document id urnp17eo7wl7 return np17e07mps reimbursement aprooved one orders motivation order received even sent orders inside package disturbing experience facing quality product orders returned 28112024 partially reimbursement approved 28012025 emails sent
Très bien rien à redire,"Date of experience: January 15, 2025","Très bien rien à redire Date of experience: January 15, 2025",en,très bien rien à redire date experience january 15 2025
Shrub’s full of it!,"I did a bulk order and I had missing items. I submitted a ticket. Shein responded, saying to check my opens again and there would be no refund. I don’t have these pens!
These were clothes, for my grandson","Shrub’s full of it! I did a bulk order and I had missing items. I submitted a ticket. Shein responded, saying to check my opens again and there would be no refund. I don’t have these pens!
These were clothes, for my grandson",en,shrub ’ full bulk order missing items submitted ticket shein responded saying check opens would refund ’ pens clothes grandson
Good service,"Date of experience: December 30, 2024","Good service Date of experience: December 30, 2024",en,good service date experience december 30 2024
All the items it’s perfect,All the items it’s perfect,All the items it’s perfect All the items it’s perfect,en,items ’ perfect items ’ perfect
Love shopping at Shein,Love shopping at Shein. Great variety’s to choose from. From clothes to kitchen. Most things I bought was exactly as described.,Love shopping at Shein Love shopping at Shein. Great variety’s to choose from. From clothes to kitchen. Most things I bought was exactly as described.,en,love shopping shein love shopping shein great variety ’ choose clothes kitchen things bought exactly described
I do like shein,"Shein is very nice company
I do like to shipping to them all times 😍😍😍","I do like shein Shein is very nice company
I do like to shipping to them all times 😍😍😍",en,like shein shein nice company like shipping times 😍😍😍
Clothes are beautiful and very…,Clothes are beautiful and very flatering.,Clothes are beautiful and very… Clothes are beautiful and very flatering.,en,clothes beautiful very… clothes beautiful flatering
Never trust this shein especially if…,"Never trust this shein especially if high value and more than a hudreds of purchases, and worst customer service ever had Roberth Figueroa SHEIN

Clients","Never trust this shein especially if… Never trust this shein especially if high value and more than a hudreds of purchases, and worst customer service ever had Roberth Figueroa SHEIN

Clients",en,never trust shein especially if… never trust shein especially high value hudreds purchases worst customer service ever roberth figueroa shein clients
Au top merci,Les choses commandées correspondent aus photo merci,Au top merci Les choses commandées correspondent aus photo merci,en,au top merci les choses commandées correspondent aus photo merci
I loveeee sheinn,"Date of experience: January 30, 2025","I loveeee sheinn Date of experience: January 30, 2025",en,loveeee sheinn date experience january 30 2025
I have been using Shein for 4 years,"I have been using Shein for a few years now and absolutely love them. Sometimes, the material doesn't last as long as I'd like, but that comes with such an affordable price so I get it. I have so many staple pieces I have gotten from them and LOOVVEEE how they are always up to date with the current fashions trends. I plan on buying from them for years to come. <3","I have been using Shein for 4 years I have been using Shein for a few years now and absolutely love them. Sometimes, the material doesn't last as long as I'd like, but that comes with such an affordable price so I get it. I have so many staple pieces I have gotten from them and LOOVVEEE how they are always up to date with the current fashions trends. I plan on buying from them for years to come. <3",en,using shein 4 years using shein years absolutely love sometimes material doesnt last long id like comes affordable price get many staple pieces gotten loovveee always date current fashions trends plan buying years come 3
SHEIN has gotten better with their…,SHEIN has gotten better with their faster delivery and also their convenient ways to return itemsand get your refund back.,SHEIN has gotten better with their… SHEIN has gotten better with their faster delivery and also their convenient ways to return itemsand get your refund back.,en,shein gotten better their… shein gotten better faster delivery also convenient ways return itemsand get refund back
Super contente. Merci💕🍀,Merci beaucoup,Super contente. Merci💕🍀 Merci beaucoup,en,super contente merci💕🍀 merci beaucoup
Convenient,"Convenient, most items of clothing fit true to size, good quality and shipments usually comes before the date stated.","Convenient Convenient, most items of clothing fit true to size, good quality and shipments usually comes before the date stated.",en,convenient convenient items clothing fit true size good quality shipments usually comes date stated
Good good good,"Date of experience: January 14, 2025","Good good good Date of experience: January 14, 2025",en,good good good date experience january 14 2025
I order more than 10 items and I…,"I order more than 10 items and I haven't received, I keep getting emails saying, that delivery agency could not deliver the items because no body was home,I work every day,all they need to do is drop items at the door,I'm disappointed i being a costumer for years now I'm getting that?","I order more than 10 items and I… I order more than 10 items and I haven't received, I keep getting emails saying, that delivery agency could not deliver the items because no body was home,I work every day,all they need to do is drop items at the door,I'm disappointed i being a costumer for years now I'm getting that?",en,order 10 items i… order 10 items havent received keep getting emails saying delivery agency could deliver items body homei work every dayall need drop items doorim disappointed costumer years im getting
Shein- overall service let down,"I have bought more than $900+ of stuff from Shein. Overall felt like scam and product quality is you get what you pay for. What I have found over time-
Coupons- could not use my active coupons because at checkout the coupons got deactivated, and I was forced to breakdown my order of marketplace vs non products and I paid $450 in 3 checkout’s which did not let me use my 10% coupon in second and third checkout. My coupons got activated again next day after placing all my orders

Games- always hang up on $0.01 to qualify for special savings even after inviting so many people. Basically you rarely get that $500 savings scheme even after inviting friends/family and they never tell you that your invited members also have to invite ppl for you to qualify.

Shipping- the coupon of free shipping beyond $0.01 did not work in second and third payment on same day order placement

Delays- even with express shipping the orders are delayed in every single checkout I have made so far. It now shows 1-2 weeks extra than the express commitment when I had checked out.

Points- you spend weeks in saving those points to buy something special and they take away 30-80 points in a click. Every day check in gives you 5 points, imagine the frustration here as a daily checkin user from 3 years now.","Shein- overall service let down I have bought more than $900+ of stuff from Shein. Overall felt like scam and product quality is you get what you pay for. What I have found over time-
Coupons- could not use my active coupons because at checkout the coupons got deactivated, and I was forced to breakdown my order of marketplace vs non products and I paid $450 in 3 checkout’s which did not let me use my 10% coupon in second and third checkout. My coupons got activated again next day after placing all my orders

Games- always hang up on $0.01 to qualify for special savings even after inviting so many people. Basically you rarely get that $500 savings scheme even after inviting friends/family and they never tell you that your invited members also have to invite ppl for you to qualify.

Shipping- the coupon of free shipping beyond $0.01 did not work in second and third payment on same day order placement

Delays- even with express shipping the orders are delayed in every single checkout I have made so far. It now shows 1-2 weeks extra than the express commitment when I had checked out.

Points- you spend weeks in saving those points to buy something special and they take away 30-80 points in a click. Every day check in gives you 5 points, imagine the frustration here as a daily checkin user from 3 years now.",en,shein overall service let bought 900 stuff shein overall felt like scam product quality get pay found time coupons could use active coupons checkout coupons got deactivated forced breakdown order marketplace vs non products paid 450 3 checkout ’ let use 10 coupon second third checkout coupons got activated next day placing orders games always hang 001 qualify special savings even inviting many people basically rarely get 500 savings scheme even inviting friendsfamily never tell invited members also invite ppl qualify shipping coupon free shipping beyond 001 work second third payment day order placement delays even express shipping orders delayed every single checkout made far shows 12 weeks extra express commitment checked points spend weeks saving points buy something special take away 3080 points click every day check gives 5 points imagine frustration daily checkin user 3 years
🤗 de locos 🤗,🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪,🤗 de locos 🤗 🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪,en,🤗 de locos 🤗 🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪
I bought a patio shed and paid with…,"I bought a patio shed and paid with Paypal. After two days they told me that I had to send a copy of the payment, which I did and they canceled my order because they say that Pay Pal is not reliable. Do not buy on this platform. They have Become thieves. Some time ago I canceled an order and they didn't give me my money back until I realized they were stealing from me.","I bought a patio shed and paid with… I bought a patio shed and paid with Paypal. After two days they told me that I had to send a copy of the payment, which I did and they canceled my order because they say that Pay Pal is not reliable. Do not buy on this platform. They have Become thieves. Some time ago I canceled an order and they didn't give me my money back until I realized they were stealing from me.",en,bought patio shed paid with… bought patio shed paid paypal two days told send copy payment canceled order say pay pal reliable buy platform become thieves time ago canceled order didnt give money back realized stealing
I received a messge my parcel was…,I received a messge my parcel was delivered when I got home I did not find my parcel and asked neighbours as so many times they take my parcel in unfortunately after asking and looking around it was not found got intouch with shein they couldn't help very disappointed and won't be ordering again sad 😞,I received a messge my parcel was… I received a messge my parcel was delivered when I got home I did not find my parcel and asked neighbours as so many times they take my parcel in unfortunately after asking and looking around it was not found got intouch with shein they couldn't help very disappointed and won't be ordering again sad 😞,en,received messge parcel was… received messge parcel delivered got home find parcel asked neighbours many times take parcel unfortunately asking looking around found got intouch shein couldnt help disappointed wont ordering sad 😞
A FAIR REVIEW,"I like all the quality of clothing, it matches the price. But I feel like shipping is very off. I ordered my things Dec 24, 2024 and I still haven't gotten it, it's been a whole month. It'd be great if shein opened a store in the U.S.","A FAIR REVIEW I like all the quality of clothing, it matches the price. But I feel like shipping is very off. I ordered my things Dec 24, 2024 and I still haven't gotten it, it's been a whole month. It'd be great if shein opened a store in the U.S.",en,fair review like quality clothing matches price feel like shipping ordered things dec 24 2024 still havent gotten whole month itd great shein opened store us
Horrible in every sense!!,"Totally crap poorly made cheap clothes—probably child labor because prices are so low. HORRIBLE customer service—can’t make a simple return which is supposed to be free without spending over an hour trying to log on. No phone number, no email, & live chat didn’t work. This is by design. They make it so difficult that you’ll give up and you don’t get your money back for the hideous clothes. Absolutely horrible. Stay away!

Then I get an email after again trying to login repeatedly and being locked out:
“ Shainne Navarro SHEIN
2025-01-29 09:47:59GMT+0800
Hi.
Good day, Thanks for reaching out to SHEIN Customer Service.
As per checking, your location is in the US. We can only accommodate European markets.”","Horrible in every sense!! Totally crap poorly made cheap clothes—probably child labor because prices are so low. HORRIBLE customer service—can’t make a simple return which is supposed to be free without spending over an hour trying to log on. No phone number, no email, & live chat didn’t work. This is by design. They make it so difficult that you’ll give up and you don’t get your money back for the hideous clothes. Absolutely horrible. Stay away!

Then I get an email after again trying to login repeatedly and being locked out:
“ Shainne Navarro SHEIN
2025-01-29 09:47:59GMT+0800
Hi.
Good day, Thanks for reaching out to SHEIN Customer Service.
As per checking, your location is in the US. We can only accommodate European markets.”",en,horrible every sense totally crap poorly made cheap clothes—probably child labor prices low horrible customer service—can ’ make simple return supposed free without spending hour trying log phone number email live chat ’ work design make difficult ’ give ’ get money back hideous clothes absolutely horrible stay away get email trying login repeatedly locked “ shainne navarro shein 20250129 094759gmt0800 hi good day thanks reaching shein customer service per checking location us accommodate european markets ”
Very good 👍,"Very good 👍
Always love its","Very good 👍 Very good 👍
Always love its",en,good 👍 good 👍 always love
The stuff I ordered was of very poor…,"The stuff I ordered was of very poor quality. A Post misdirected my delivery twice. It came from Holland and it went through customs clearance in Dublin and was sent to athlone to be mailed. It ended up in listowel, sent back to portlaoise and then Ennis. It was collected and delivered today (6 weeks waiting). The mirrors orders are very cheap looking. Wouldn’t order again of this.","The stuff I ordered was of very poor… The stuff I ordered was of very poor quality. A Post misdirected my delivery twice. It came from Holland and it went through customs clearance in Dublin and was sent to athlone to be mailed. It ended up in listowel, sent back to portlaoise and then Ennis. It was collected and delivered today (6 weeks waiting). The mirrors orders are very cheap looking. Wouldn’t order again of this.",en,stuff ordered poor… stuff ordered poor quality post misdirected delivery twice came holland went customs clearance dublin sent athlone mailed ended listowel sent back portlaoise ennis collected delivered today 6 weeks waiting mirrors orders cheap looking ’ order
I've been shopping Shein for a long…,"I've been shopping Shein for a long time! My last order was January 2025 and when I shop I buy a lot. With my purchase I got two pairs of comfy slippers, One of the slippers was received separately from my full order in the mailbox. That pair of slippers was clearly used and dirty. I've attempted to contact Shein with no response or customer service email. If shein does not respond to my complaint I will never shop Shein again ever. It's funny that this particular pair of slippers I was unable to do a review or start a return. Very dissatisfied customer If a company does not provide a valid email or phone number for complaints ETC why shop with them. Also sending a customer a used item can ruin continuous shopping experiences... I made every attempt to contact customer service and the robot that could not help me. Shein needs to have at least email address to respond to customers.","I've been shopping Shein for a long… I've been shopping Shein for a long time! My last order was January 2025 and when I shop I buy a lot. With my purchase I got two pairs of comfy slippers, One of the slippers was received separately from my full order in the mailbox. That pair of slippers was clearly used and dirty. I've attempted to contact Shein with no response or customer service email. If shein does not respond to my complaint I will never shop Shein again ever. It's funny that this particular pair of slippers I was unable to do a review or start a return. Very dissatisfied customer If a company does not provide a valid email or phone number for complaints ETC why shop with them. Also sending a customer a used item can ruin continuous shopping experiences... I made every attempt to contact customer service and the robot that could not help me. Shein needs to have at least email address to respond to customers.",en,ive shopping shein long… ive shopping shein long time last order january 2025 shop buy lot purchase got two pairs comfy slippers one slippers received separately full order mailbox pair slippers clearly used dirty ive attempted contact shein response customer service email shein respond complaint never shop shein ever funny particular pair slippers unable review start return dissatisfied customer company provide valid email phone number complaints etc shop also sending customer used item ruin continuous shopping experiences made every attempt contact customer service robot could help shein needs least email address respond customers
If I could give SHEIN zero stars I would,"If I could give SHEIN zero stars, I would. Dealing with them has been an absolute nightmare, and I wouldn’t recommend this company to anyone.

My parcel never arrived, and instead of resolving the issue, SHEIN made it impossible to get any real help. Trying to get on a chat with their customer service feels like trying to crack a secret code—it’s frustrating, time-consuming, and downright infuriating. When I finally got through, their replies were useless, robotic, and repetitive, like a broken record that solves nothing.

Despite this being clearly the carrier’s fault, SHEIN has avoided taking any accountability whatsoever. It’s been over 10 days of back-and-forth, and they still refuse to issue me a refund or send a replacement. Instead, they told me to contact Royal Mail myself—as if it’s my job to clean up their logistical failures. Newsflash, SHEIN: I’m your customer, not your employee or problem solver!

This company has no respect for its customers, no concept of responsibility, and no willingness to fix their mistakes. It’s absolutely appalling. If you want to save yourself from stress, frustration, and losing your money, steer clear of SHEIN. They do not deserve your business.","If I could give SHEIN zero stars I would If I could give SHEIN zero stars, I would. Dealing with them has been an absolute nightmare, and I wouldn’t recommend this company to anyone.

My parcel never arrived, and instead of resolving the issue, SHEIN made it impossible to get any real help. Trying to get on a chat with their customer service feels like trying to crack a secret code—it’s frustrating, time-consuming, and downright infuriating. When I finally got through, their replies were useless, robotic, and repetitive, like a broken record that solves nothing.

Despite this being clearly the carrier’s fault, SHEIN has avoided taking any accountability whatsoever. It’s been over 10 days of back-and-forth, and they still refuse to issue me a refund or send a replacement. Instead, they told me to contact Royal Mail myself—as if it’s my job to clean up their logistical failures. Newsflash, SHEIN: I’m your customer, not your employee or problem solver!

This company has no respect for its customers, no concept of responsibility, and no willingness to fix their mistakes. It’s absolutely appalling. If you want to save yourself from stress, frustration, and losing your money, steer clear of SHEIN. They do not deserve your business.",en,could give shein zero stars would could give shein zero stars would dealing absolute nightmare ’ recommend company anyone parcel never arrived instead resolving issue shein made impossible get real help trying get chat customer service feels like trying crack secret code—it ’ frustrating timeconsuming downright infuriating finally got replies useless robotic repetitive like broken record solves nothing despite clearly carrier ’ fault shein avoided taking accountability whatsoever ’ 10 days backandforth still refuse issue refund send replacement instead told contact royal mail myself—as ’ job clean logistical failures newsflash shein ’ customer employee problem solver company respect customers concept responsibility willingness fix mistakes ’ absolutely appalling want save stress frustration losing money steer clear shein deserve business
AMAZING experience!,My experience is always a great one. The variety of clothing is awesome. The order is never late. And the return policy is AMAZING. I am always happy with my purchases.,AMAZING experience! My experience is always a great one. The variety of clothing is awesome. The order is never late. And the return policy is AMAZING. I am always happy with my purchases.,en,amazing experience experience always great one variety clothing awesome order never late return policy amazing always happy purchases
Customer Service,"I placed 2 orders last year. Never received either one. Shein promised refunds. It has been over 6 months ago and still no refunds.
Orders dated April 1, 2024, and June 9, 2024. UPDATE: These refunds were promised by CUSTOMER SERVICE.","Customer Service I placed 2 orders last year. Never received either one. Shein promised refunds. It has been over 6 months ago and still no refunds.
Orders dated April 1, 2024, and June 9, 2024. UPDATE: These refunds were promised by CUSTOMER SERVICE.",en,customer service placed 2 orders last year never received either one shein promised refunds 6 months ago still refunds orders dated april 1 2024 june 9 2024 update refunds promised customer service
Dissatisfied customer,"I usually use Temu but thought I would try this company. I Placed my first order and waited for it to deliver. The Speedx delivery service used delivered to the wrong location. I tried many times with Speedx to correct the delivery but they kept insisting they had delivered and kept texting me photos of the wrong location. Yes, you delivered but not to ME! SHEIN customer service is just as bad, when you finally figure out how to contact them, I have had to explain a simple issue many more times than should be necessary and still no resolve. I am beyond irritated at this point and I am sticking with Temu for any cheap goods I need I wouldn’t recommend buying anything from Shein","Dissatisfied customer I usually use Temu but thought I would try this company. I Placed my first order and waited for it to deliver. The Speedx delivery service used delivered to the wrong location. I tried many times with Speedx to correct the delivery but they kept insisting they had delivered and kept texting me photos of the wrong location. Yes, you delivered but not to ME! SHEIN customer service is just as bad, when you finally figure out how to contact them, I have had to explain a simple issue many more times than should be necessary and still no resolve. I am beyond irritated at this point and I am sticking with Temu for any cheap goods I need I wouldn’t recommend buying anything from Shein",en,dissatisfied customer usually use temu thought would try company placed first order waited deliver speedx delivery service used delivered wrong location tried many times speedx correct delivery kept insisting delivered kept texting photos wrong location yes delivered shein customer service bad finally figure contact explain simple issue many times necessary still resolve beyond irritated point sticking temu cheap goods need ’ recommend buying anything shein
Irresponsible Company,"I placed an order with Shein, and it was delivered to the wrong city. The tracking record showed very clearly that my order was delivered to a city 7 hours away from my shipping address. Shein denied responsibility and refused to issue the refund. They told me to contact the shipping company myself. They just kept my money without sending me the order; they made a mistake and just asked the customer to fix it. They were just robbing from me. Shein is a scammer. DO NOT ORDER FROM SHEIN!!!!!","Irresponsible Company I placed an order with Shein, and it was delivered to the wrong city. The tracking record showed very clearly that my order was delivered to a city 7 hours away from my shipping address. Shein denied responsibility and refused to issue the refund. They told me to contact the shipping company myself. They just kept my money without sending me the order; they made a mistake and just asked the customer to fix it. They were just robbing from me. Shein is a scammer. DO NOT ORDER FROM SHEIN!!!!!",en,irresponsible company placed order shein delivered wrong city tracking record showed clearly order delivered city 7 hours away shipping address shein denied responsibility refused issue refund told contact shipping company kept money without sending order made mistake asked customer fix robbing shein scammer order shein
Apology to Shein,"I'm woman enough to write this apology here, publicly to Shein. I realized today who the real problem was of the ongoing delivery issues, USPS. They posted a fake notice on the tracking page claiming the package had been 'Delivered to agent'. Nobody no what this mean exactly for the customer, but I do. It's a easy scam played on customers to make them think that their package is lost, delayed. Nothing can be further from the truth. My instinct told me to go to the postal annex. Guess what was their when I arrived? My package sitting in the back somewhere. Why tell the easy lie that the package is supposedly ' Delivered to agent....when my package had been at postal annex all day. I keep telling folk something is seriously wrong with these people. Shein you get 2 thumbs up from me...you need to chose another carrier beside USPS or I might have to close my account.","Apology to Shein I'm woman enough to write this apology here, publicly to Shein. I realized today who the real problem was of the ongoing delivery issues, USPS. They posted a fake notice on the tracking page claiming the package had been 'Delivered to agent'. Nobody no what this mean exactly for the customer, but I do. It's a easy scam played on customers to make them think that their package is lost, delayed. Nothing can be further from the truth. My instinct told me to go to the postal annex. Guess what was their when I arrived? My package sitting in the back somewhere. Why tell the easy lie that the package is supposedly ' Delivered to agent....when my package had been at postal annex all day. I keep telling folk something is seriously wrong with these people. Shein you get 2 thumbs up from me...you need to chose another carrier beside USPS or I might have to close my account.",en,apology shein im woman enough write apology publicly shein realized today real problem ongoing delivery issues usps posted fake notice tracking page claiming package delivered agent nobody mean exactly customer easy scam played customers make think package lost delayed nothing truth instinct told go postal annex guess arrived package sitting back somewhere tell easy lie package supposedly delivered agentwhen package postal annex day keep telling folk something seriously wrong people shein get 2 thumbs meyou need chose another carrier beside usps might close account
